job_id,job_name,machine,product,operator,priority,planned_start,planned_end,actual_start,actual_end,forecast_end,variance_hrs,notes
JOB-042,Valve Body Paint — Batch A,PAINT-1,Valve Body,James O.,MEDIUM,2026-06-01T06:00,2026-06-02T06:00,2026-06-01T06:00,2026-06-02T06:30,,+0.5,On time
JOB-043,Pump Housing Paint — Run 7,PAINT-1,Pump Housing,James O.,HIGH,2026-06-02T07:00,2026-06-03T07:00,2026-06-02T07:00,2026-06-03T18:00,,+11.0,REWORK — paint adhesion failure
JOB-044,Bracket Paint — Series 4,PAINT-1,Bracket,Sarah K.,MEDIUM,2026-06-03T19:00,2026-06-05T11:00,2026-06-03T19:30,2026-06-05T13:30,,+2.0,Cascade from JOB-043
JOB-045,Manifold Paint — P238,PAINT-1,Manifold,Sarah K.,MEDIUM,2026-06-05T14:00,2026-06-07T06:00,2026-06-05T15:00,2026-06-07T11:00,,+5.0,Cascade continues
JOB-046,Cylinder Head Paint — Set C,PAINT-1,Cylinder Head,James O.,HIGH,2026-06-07T12:00,2026-06-08T20:00,2026-06-07T16:00,,2026-06-09T06:00,+10.0,In progress — delayed start
JOB-047,Valve Body Paint — Batch B,PAINT-1,Valve Body,Mike T.,MEDIUM,2026-06-09T00:00,2026-06-10T08:00,,,2026-06-10T18:00,+10.0,At risk — booth backlogged
JOB-048,Pump Housing Paint — Run 8,PAINT-1,Pump Housing,Mike T.,MEDIUM,2026-06-10T09:00,2026-06-11T17:00,,,2026-06-11T17:00,0.0,Scheduled
JOB-049,Valve Body Inspection — Batch A,QC-LAB,Valve Body,Ryan B.,MEDIUM,2026-06-01T06:00,2026-06-02T14:00,2026-06-01T06:00,2026-06-02T14:30,,+0.5,On time
JOB-050,Pump Housing Inspection — Run 7,QC-LAB,Pump Housing,Ryan B.,HIGH,2026-06-02T15:00,2026-06-04T07:00,2026-06-02T15:00,2026-06-04T09:00,,+2.0,Slight backlog
JOB-051,Bracket Inspection — Series 4,QC-LAB,Bracket,Emma W.,MEDIUM,2026-06-04T08:00,2026-06-06T00:00,2026-06-04T09:30,2026-06-06T03:30,,+3.5,Growing backlog
JOB-052,Manifold Inspection — P238,QC-LAB,Manifold,Emma W.,HIGH,2026-06-06T01:00,2026-06-07T17:00,2026-06-06T04:00,2026-06-07T22:00,,+5.0,Backlog deepening
JOB-053,Cylinder Head Inspection — Set C,QC-LAB,Cylinder Head,Ryan B.,HIGH,2026-06-07T23:00,2026-06-09T15:00,2026-06-08T03:00,,2026-06-10T00:00,+9.0,In progress — delayed
JOB-054,Valve Body Inspection — Batch B,QC-LAB,Valve Body,Emma W.,MEDIUM,2026-06-09T16:00,2026-06-11T08:00,,,2026-06-11T18:00,+10.0,At risk — cascade from delays
